Date,Price
1970-01-01,3.35
1970-02-01,3.35
1970-03-01,3.35
1970-04-01,3.35
1970-05-01,3.35
1970-06-01,3.35
1970-07-01,3.31
1970-08-01,3.31
1970-09-01,3.31
1970-10-01,3.31
1970-11-01,3.31
1970-12-01,3.56
1971-01-01,3.56
1971-02-01,3.56
1971-03-01,3.56
1971-04-01,3.56
1971-05-01,3.56
1971-06-01,3.56
1971-07-01,3.56
1971-08-01,3.56
1971-09-01,3.56
1971-10-01,3.56
1971-11-01,3.56
1971-12-01,3.56
1972-01-01,3.56
1972-02-01,3.56
1972-03-01,3.56
1972-04-01,3.56
1972-05-01,3.56
1972-06-01,3.56
1972-07-01,3.56
1972-08-01,3.56
1972-09-01,3.56
1972-10-01,3.56
1972-11-01,3.56
1972-12-01,3.56
1973-01-01,3.56
1973-02-01,3.56
1973-03-01,3.56
1973-04-01,3.56
1973-05-01,3.56
1973-06-01,3.56
1973-07-01,3.56
1973-08-01,4.31
1973-09-01,4.31
1973-10-01,4.31
1973-11-01,4.31
1973-12-01,4.31
1974-01-01,10.11
1974-02-01,10.11
1974-03-01,10.11
1974-04-01,10.11
1974-05-01,10.11
1974-06-01,10.11
1974-07-01,10.11
1974-08-01,10.11
1974-09-01,10.11
1974-10-01,11.16
1974-11-01,11.16
1974-12-01,11.16
1975-01-01,11.16
1975-02-01,11.16
1975-03-01,11.16
1975-04-01,11.16
1975-05-01,11.16
1975-06-01,11.16
1975-07-01,11.16
1975-08-01,11.16
1975-09-01,11.16
1975-10-01,11.16
1975-11-01,11.16
1975-12-01,11.16
1976-01-01,11.16
1976-02-01,12.03
1976-03-01,12.1
1976-04-01,12.17
1976-05-01,12.17
1976-06-01,12.17
1976-07-01,12.17
1976-08-01,12.17
1976-09-01,13.9
1976-10-01,13.9
1976-11-01,13.9
1976-12-01,13.9
1977-01-01,13.9
1977-02-01,13.9
1977-03-01,13.9
1977-04-01,13.9
1977-05-01,13.9
1977-06-01,13.9
1977-07-01,13.9
1977-08-01,14.85
1977-09-01,14.85
1977-10-01,14.85
1977-11-01,14.85
1977-12-01,14.85
1978-01-01,14.85
1978-02-01,14.85
1978-03-01,14.85
1978-04-01,14.85
1978-05-01,14.85
1978-06-01,14.85
1978-07-01,14.85
1978-08-01,14.85
1978-09-01,14.85
1978-10-01,14.85
1978-11-01,14.85
1978-12-01,14.85
1979-01-01,14.85
1979-02-01,15.85
1979-03-01,15.85
1979-04-01,15.85
1979-05-01,18.1
1979-06-01,19.1
1979-07-01,21.75
1979-08-01,26.5
1979-09-01,28.5
1979-10-01,29.0
1979-11-01,31.0
1979-12-01,32.5
1980-01-01,32.5
1980-02-01,37.0
1980-03-01,38.0
1980-04-01,39.5
1980-05-01,39.5
1980-06-01,39.5
1980-07-01,39.5
1980-08-01,38.0
1980-09-01,36.0
1980-10-01,36.0
1980-11-01,36.0
1980-12-01,37.0
1981-01-01,38.0
1981-02-01,38.0
1981-03-01,38.0
1981-04-01,38.0
1981-05-01,38.0
1981-06-01,36.0
1981-07-01,36.0
1981-08-01,36.0
1981-09-01,36.0
1981-10-01,35.0
1981-11-01,36.0
1981-12-01,35.0
1982-01-01,33.85
1982-02-01,31.56
1982-03-01,28.48
1982-04-01,33.45
1982-05-01,35.93
1982-06-01,35.07
1982-07-01,34.16
1982-08-01,33.95
1982-09-01,35.63
1982-10-01,35.68
1982-11-01,34.15
1982-12-01,31.72
